,Attenuation,Visibility
0,99.0049833749168,0.001
1,90.97583436315539,0.009457627118644068
2,83.59783675464142,0.017915254237288136
3,76.81818319092014,0.0263728813559322
4,70.58834890755871,0.03483050847457627
5,64.86374442248197,0.04328813559322034
6,59.60339639073974,0.0517457627118644
7,54.769654341452366,0.06020338983050847
8,50.32792119793063,0.06866101694915254
9,46.246405652191456,0.07711864406779662
10,42.495894621512505,0.08557627118644068
11,39.04954415840359,0.09403389830508475
12,35.88268731745173,0.1024915254237288
13,32.97265760386406,0.11094915254237288
14,30.298626740057195,0.11940677966101694
15,27.841455589122056,0.12786440677966102
16,25.58355716816202,0.13632203389830508
17,23.508770771034744,0.14477966101694914
18,21.60224629954232,0.15323728813559323
19,19.850337975180736,0.1616949152542373
20,18.240506670699826,0.17015254237288135
21,16.76123016242073,0.17861016949152542
22,15.401920660949694,0.1870677966101695
23,14.152849030021839,0.19552542372881357
24,13.005075151077905,0.2039830508474576
25,11.950383935164673,0.21244067796610167
26,10.981226524170081,0.22089830508474576
27,10.090666260545948,0.22935593220338982
28,9.272329038801583,0.23781355932203388
29,8.5203576834134,0.24627118644067794
30,7.82937002661465,0.25472881355932203
31,7.19442038601066,0.2631864406779661
32,6.6109641662991105,0.27164406779661016
33,6.07482533173537,0.2801016949152542
34,5.582166516529872,0.2885593220338983
35,5.129461559245484,0.29701694915254234
36,4.713470264612141,0.30547457627118646
37,4.33121521211884,0.31393220338983047
38,3.9799604453924124,0.3223898305084746
39,3.6571918898343485,0.3308474576271186
40,3.3605993583565343,0.3393050847457627
41,3.088060016423667,0.34776271186440677
42,2.837623188054784,0.35622033898305083
43,2.6074963940342966,0.3646779661016949
44,2.3960325224021926,0.373135593220339
45,2.2017180393974125,0.381593220338983
46,2.0231621564752214,0.39005084745762714
47,1.8590868758625125,0.39850847457627114
48,1.7083178434029618,0.4069661016949152
49,1.5697759432221232,0.4154237288135593
50,1.4424695740520033,0.42388135593220333
51,1.32548755193361,0.43233898305084745
52,1.2179925884992135,0.4407966101694915
53,1.1192152981556767,0.44925423728813557
54,1.0284486912758484,0.45771186440677963
55,0.9450431139834949,0.4661694915254237
56,0.8684015983137408,0.47462711864406776
57,0.7979755894682172,0.4830847457627119
58,0.733261019583124,0.4915423728813559
59,0.6737946999085467,0.5
